category,Factory,Retailer,Wholesaler,Distributor
1,412,400,500,0
2,107,0,1000,0
3,0,0,638,93
4,0,0,700,200
5,0,0,0,186
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,757,0
12,0,950,5557,0
13,0,1250,7957,0
14,0,850,13457,0
15,0,450,15857,46207
16,0,50,49650,136207
17,0,0,49300,146207
18,0,0,48500,151207
19,0,0,48100,201207
20,5421,0,47300,206207
21,135421,400,46900,330786
22,136421,400,46500,330786
23,146421,400,46100,330786
24,0,0,0,0
