category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,400,400,400
2,400,100,320,400,400
3,400,-120,220,380,400
4,380,-320,290,280,400
5,280,-670,440,280,400
6,285,-1020,560,430,400
7,462,-1420,610,550,400
8,583,-1820,560,600,400
9,614,-2170,560,600,400
10,614,-2870,360,600,400
11,614,-3170,160,550,400
12,564,-3370,10,430,400
13,444,-3570,-370,290,400
14,287,-3840,-480,-90,400
15,-87,-4050,-220,-400,400
16,-62,-4040,-280,-387,400
17,135,-4250,-367,-772,400
18,131,-4237,-402,-897,400
19,612,-4422,-927,-1417,400
20,90,-4347,-1727,-2617,400
21,-1610,-4547,-2727,-3897,400
22,-2243,-4947,-2507,-6807,400
23,-3137,-4627,-3417,-8940,400
24,0,0,0,0,0
