category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,200,50,100,100
2,100,200,100,50,400
3,0,300,200,50,400
4,0,700,500,200,400
5,100,800,1700,200,400
6,200,800,5000,1800,400
7,2500,800,5000,14000,400
8,400,1000,5000,14000,400
9,5000,100,10000,14000,400
10,800,2000,20000,2500,400
11,10000,200,20000,50000,400
12,1600,400,20000,90000,400
13,10000,400,4000,150000,400
14,1600,100,3000,150000,400
15,10000,0,1000,75000,400
16,1600,0,0,64750,400
17,10000,0,0,62150,400
18,1600,0,0,52150,400
19,1600,0,0,50550,400
20,1600,0,0,40550,400
21,1600,100,1000,38950,400
22,1600,100,5000,38950,400
23,1600,500,2000,46750,400
24,1600,500,2000,46750,400
25,1600,600,2000,45150,400
