category,Factory,Retailer,Wholesaler,Distributor,Target
1,350,400,400,-500,400
2,-950,100,800,-350,400
3,-1850,-200,750,100,400
4,-50,-400,1000,200,400
5,4900,-700,800,2200,400
6,6900,-900,-300,2300,400
7,9900,-500,-500,600,400
8,10700,-900,400,-400,400
9,9500,0,1000,-200,400
10,8700,-800,1400,1400,400
11,8650,-1200,600,1800,400
12,8550,-600,-2200,1500,400
13,8400,-600,-2800,-50,400
14,6700,-1000,-1650,-3300,400
15,3200,150,-2900,-2100,400
16,3150,-100,-1600,-3600,400
17,-2350,1200,1400,-4250,400
18,-2850,2900,1050,-1100,400
19,2450,2900,3800,-1100,400
20,4050,2900,3800,2450,400
21,4450,2500,4900,2850,400
22,4450,2100,4900,3000,400
23,0,0,0,0,0
24,0,0,0,0,0
