category,Factory,Retailer,Wholesaler,Distributor
1,400,400,500,300
2,350,0,700,400
3,450,0,100,650
4,600,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,800,5500,0
11,0,2900,23500,0
12,0,2500,35500,1900
13,0,2100,42600,16900
14,13000,1700,42600,33900
15,17000,1300,42600,36900
16,17050,900,42600,36900
17,17050,500,42500,36900
18,17050,200,42400,36900
19,17050,0,42000,36900
20,17050,0,41700,36900
21,17050,0,41400,36900
22,17050,0,40900,36900
23,17050,0,39900,36900
24,17050,400,39800,36900
