category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,70,500,100,100,100
2,100,0,600,50,400
3,50,200,200,600,400
4,600,500,0,1000,400
5,2000,1000,700,300,400
6,2000,800,1200,1000,400
7,1500,400,2000,2000,400
8,3000,600,1200,4000,400
9,10000,600,800,1000,400
10,5000,0,0,800,400
11,1000,0,0,100,400
12,100,0,0,0,400
13,0,400,0,0,400
14,0,600,0,0,400
15,0,400,0,0,400
16,0,400,0,0,400
17,0,400,0,0,400
18,0,200,500,0,400
19,0,300,100,0,400
20,0,200,100,0,400
21,0,300,100,0,400
22,0,500,100,0,400
23,0,800,100,0,400
24,100,800,10000,0,400
