category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,150,100,100,100,100
2,120,100,150,100,400
3,200,400,50,200,400
4,300,400,600,100,400
5,200,600,600,900,400
6,300,200,600,900,400
7,900,400,1000,700,400
8,1000,400,800,1500,400
9,2500,300,800,2500,400
10,1000,10,800,2500,400
11,2500,400,100,5000,400
12,6000,100,0,600,400
13,1000,300,0,0,400
14,10,1000,0,400,400
15,500,2000,300,400,400
16,500,2000,1300,300,400
17,500,1000,1300,0,400
18,10,1000,1500,0,400
19,100,10,1500,0,400
20,10,10,500,0,400
21,100,0,200,0,400
22,20,0,100,0,400
23,0,100,0,0,400
24,0,100,0,0,400
