category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,500,300,400
2,350,0,700,400,400
3,450,-400,100,650,400
4,600,-200,-500,-200,400
5,-500,-500,-800,-1700,400
6,-3000,-200,-1600,-3100,400
7,-7000,-600,-1000,-7100,400
8,-9000,-400,-2200,-9100,400
9,-6000,-800,-1000,-9100,400
10,-14000,800,5500,-1100,400
11,-15000,2900,23500,-2100,400
12,-15000,2500,35500,1900,400
13,-3000,2100,42600,16900,400
14,13000,1700,42600,33900,400
15,17000,1300,42600,36900,400
16,17050,900,42600,36900,400
17,17050,500,42500,36900,400
18,17050,200,42400,36900,400
19,17050,-100,42000,36900,400
20,17050,-100,41700,36900,400
21,17050,-200,41400,36900,400
22,17050,-300,40900,36900,400
23,17050,-200,39900,36900,400
24,17050,400,39800,36900,400
