category,Factory,Retailer,Wholesaler,Distributor
1,350,400,400,0
2,0,100,800,0
3,0,0,750,100
4,0,0,1000,200
5,4900,0,800,2200
6,6900,0,0,2300
7,9900,0,0,600
8,10700,0,400,0
9,9500,0,1000,0
10,8700,0,1400,1400
11,8650,0,600,1800
12,8550,0,0,1500
13,8400,0,0,0
14,6700,0,0,0
15,3200,150,0,0
16,3150,0,0,0
17,0,1200,1400,0
18,0,2900,1050,0
19,2450,2900,3800,0
20,4050,2900,3800,2450
21,4450,2500,4900,2850
22,4450,2100,4900,3000
23,0,0,0,0
24,0,0,0,0
