category,Factory,Retailer,Wholesaler,Distributor
1,300,400,350,400
2,300,150,250,550
3,450,0,0,450
4,450,0,0,100
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,250,0,0,500
9,1450,0,0,0
10,950,0,0,0
11,0,900,0,0
12,0,700,0,0
13,0,1300,0,0
14,0,1850,0,0
15,0,1500,11350,0
16,18000,4750,33350,4050
17,47800,4350,44300,36050
18,52800,3950,44300,36250
19,52800,3550,44300,36250
20,52800,3150,44300,36250
21,52800,2750,44300,36250
22,52800,2350,44300,36250
23,52810,1950,44300,36250
24,52810,1550,44300,36250
