category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,100,100,100,100
2,100,180,100,100,400
3,100,200,120,100,400
4,100,50,200,120,400
5,125,50,120,200,400
6,227,0,50,120,400
7,121,0,0,50,400
8,31,50,0,0,400
9,0,0,0,0,400
10,0,100,0,0,400
11,0,200,50,0,400
12,0,200,120,50,400
13,33,500,190,120,400
14,126,300,500,190,400
15,215,150,500,500,400
16,610,250,400,190,400
17,196,500,600,413,400
18,481,250,600,200,400
19,198,1000,720,0,400
20,0,1000,1200,720,400
21,867,1000,2000,1700,400
22,2106,500,3000,1500,400
23,1791,1000,3000,3000,400
24,0,0,0,0,0
