category,supply_chain_cost,Target
1,800,29300
2,1600,29300
3,2560,29300
4,3690,29300
5,5670,29300
6,8430,29300
7,11690,29300
8,15100,29300
9,18660,29300
10,20675,29300
11,28970,29300
12,40030,29300
13,51440,29300
14,62600,29300
15,73460,29300
16,84120,29300
17,94580,29300
18,104840,29300
19,114800,29300
20,124760,29300
21,134620,29300
22,144530,29300
23,154690,29300
24,165600,29300
