category,Factory,Retailer,Wholesaler,Distributor,Target
1,380,400,500,500,400
2,480,0,400,520,400
3,500,-300,-100,420,400
4,350,-200,-600,0,400
5,-170,-500,-1600,150,400
6,-720,-400,-2100,-1420,400
7,-3620,-800,-3520,-3770,400
8,-7900,-620,-4870,-6690,400
9,-14400,-870,-7270,-10970,400
10,-24400,-670,-9550,-15470,400
11,-49400,-350,-7550,-10470,400
12,-39400,2750,6650,-5470,400
13,10600,10700,21500,42530,400
14,90600,10450,20970,131930,400
15,91100,18050,18970,131930,400
16,91100,19650,3970,131930,400
17,91100,34250,-13030,126930,400
18,91100,37820,-8030,111930,400
19,91100,42420,6970,96930,400
20,91100,50050,21970,91930,400
21,91100,49650,-23030,91930,400
22,91100,76220,-23030,61930,400
23,91100,75820,-69030,33930,400
24,91100,105420,-117030,-66070,400
