category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,500,400,400
2,390,0,600,500,400
3,490,-400,0,610,400
4,360,-200,-1200,-390,400
5,-140,-600,-1590,-2740,400
6,-4960,-390,-2940,-5580,400
7,-14360,-540,-3580,-12400,400
8,20640,-580,-5400,-21800,400
9,50640,-800,-5100,-2440,400
10,65640,-600,32860,32560,400
11,145640,5500,47300,37560,400
12,155640,8100,47300,37560,400
13,155639,7700,47300,37560,400
14,155639,7300,47300,37561,400
15,155639,6900,47300,37561,400
16,155639,6500,47300,37561,400
17,175639,6100,47100,37561,400
18,185629,5900,46900,37561,400
19,185629,5700,46700,37571,400
20,185629,5500,46500,37571,400
21,185629,5300,46300,37571,400
22,185629,5100,45800,37571,400
23,184629,5200,45300,37571,400
24,184629,5300,44800,38571,400
