category,supply_chain_cost,Target
1,800,29300
2,1600,29300
3,2475,29300
4,3375,29300
5,4550,29300
6,6000,29300
7,8300,29300
8,10700,29300
9,12700,29300
10,16825,29300
11,26150,29300
12,52250,29300
13,101750,29300
14,160650,29300
15,217775,29300
16,261550,29300
17,291625,29300
18,357875,29300
19,426525,29300
20,494975,29300
21,563225,29300
22,631275,29300
23,699125,29300
24,766780,29300
