category,supply_chain_cost,Target
1,800,29300
2,2100,29300
3,4400,29300
4,7425,29300
5,8975,29300
6,13825,29300
7,20025,29300
8,26675,29300
9,33925,29300
10,46025,29300
11,52775,29300
12,66925,29300
13,75150,29300
14,83400,29300
15,93300,29300
16,100500,29300
17,107975,29300
18,116275,29300
19,122600,29300
20,128475,29300
21,135075,29300
22,142425,29300
23,0,0
24,0,0
