category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,100,1000,150,100
2,100,100,0,1400,400
3,2000,200,0,1000,400
4,5000,100,0,200,400
5,2000,200,0,50,400
6,3000,1100,0,0,400
7,1000,200,1700,0,400
8,0,800,1000,200,400
9,0,0,0,1200,400
10,0,0,0,400,400
11,0,800,0,50,400
12,0,1600,0,50,400
13,0,600,1600,150,400
14,0,400,3400,1700,400
15,0,1400,500,3500,400
16,0,400,5000,50,400
17,0,500,700,5500,400
18,6000,400,0,500,400
19,2000,400,0,700,400
20,550,0,0,400,400
21,0,0,0,150,400
22,0,0,0,0,400
23,0,0,0,0,0
24,0,0,0,0,0
