category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,300,450,400
2,450,200,150,450,400
3,500,0,-50,300,400
4,300,-150,-550,-150,400
5,100,-350,-1000,-1650,400
6,-1600,-400,-1600,-6450,400
7,-15400,-600,-2200,-11250,400
8,-26900,-800,-3000,-16050,400
9,-40500,-1000,-2900,-23550,400
10,-38000,-1200,-2400,-43150,400
11,-87200,900,-2200,-58150,400
12,-167200,900,2400,-77350,400
13,-315600,3100,2800,-71350,400
14,-455600,3100,12700,-72750,400
15,-529000,2800,14300,-63750,400
16,-583750,2400,24300,-62150,400
17,-644300,2000,25900,-52150,400
18,-686450,1600,35900,-50550,400
19,-735400,1200,37500,-40550,400
20,-774350,800,47500,-38950,400
21,-811700,400,49000,-38350,400
22,-849050,100,50500,-41750,400
23,-894200,-200,51600,-42150,400
24,-894200,-200,51600,-42150,400
25,-937750,-100,52600,-42550,400
