category,Factory,Retailer,Wholesaler,Distributor
1,380,400,500,500
2,480,0,400,520
3,500,0,0,420
4,350,0,0,0
5,0,0,0,150
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,2750,6650,0
13,10600,10700,21500,42530
14,90600,10450,20970,131930
15,91100,18050,18970,131930
16,91100,19650,3970,131930
17,91100,34250,0,126930
18,91100,37820,0,111930
19,91100,42420,6970,96930
20,91100,50050,21970,91930
21,91100,49650,0,91930
22,91100,76220,0,61930
23,91100,75820,0,33930
24,91100,105420,0,0
