id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1758423,100,100,100,100,100,100,100,100,400,400,400,400,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,400,400,400,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758434,100,100,100,100,100,100,100,100,400,400,400,100,0,0,0,0,100,100,100,100,100,100,100,400,100,100,100,400,400,400,400,100,200,200,200,200,400,400,400,400,1600,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758443,0,100,400,100,0,100,400,100,400,400,100,0,0,0,0,200,100,100,100,100,100,100,400,400,100,100,400,200,400,400,100,-200,200,200,200,200,600,600,600,600,2400,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758460,50,200,900,400,50,200,900,400,200,100,0,0,0,0,700,200,0,100,100,400,200,400,900,400,200,400,200,400,200,100,-700,-200,400,200,200,200,1000,800,800,800,3400,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758472,200,100,300,1600,200,100,1000,1600,150,0,0,0,0,1300,600,400,50,200,400,200,100,1600,300,400,100,300,400,200,150,-1300,-600,-400,400,200,200,900,1400,1000,1000,1700,5100,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758483,100,100,500,1000,100,100,1100,2300,250,0,0,0,0,2200,800,400,200,100,300,400,100,1000,500,400,100,100,300,400,250,-2200,-800,-400,600,200,1500,800,2000,1200,2500,2500,8200,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758496,50,0,600,1400,50,0,1400,3600,350,0,0,0,0,3500,1300,500,100,100,100,300,0,1400,600,400,0,100,100,300,350,-3500,-1300,-500,600,200,2400,1000,2600,1400,4900,3500,12400,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758504,0,500,600,2000,0,500,1900,5500,0,0,0,0,100,5500,1800,800,50,0,100,100,500,2000,600,400,400,0,100,100,-100,-5500,-1800,-800,700,200,3700,1500,3300,1600,8600,5000,18500,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758513,500,500,1000,3000,500,600,2800,8500,0,0,0,0,600,8100,2800,1100,0,400,0,100,500,3000,1000,400,0,400,0,100,-600,-8100,-2800,-1100,1000,300,5700,2000,4300,1900,14300,7000,27500,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758523,500,500,100,5000,500,1100,2900,13100,0,0,0,0,600,13100,2500,1500,500,0,400,0,500,5000,100,400,500,0,400,0,-600,-13100,-2500,-1500,1300,800,8300,3000,5600,2700,22600,10000,40900,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758537,600,500,200,3000,600,1100,2700,16100,0,0,0,0,600,15600,2700,1500,500,500,0,400,500,3000,200,400,500,500,0,400,-600,-15600,-2700,-1500,1700,800,13300,2700,7300,3500,35900,12700,59400,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758539,600,500,100,5000,600,1100,2800,20600,0,0,0,0,500,20100,2300,1900,600,500,500,0,500,5000,100,400,600,500,500,0,-500,-20100,-2300,-1900,1700,800,15800,2900,9000,4300,51700,15600,80600,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758545,500,500,400,3000,500,1000,2700,23100,0,0,0,0,400,22500,2200,1800,600,600,500,500,500,3000,400,400,600,600,500,500,-400,-22500,-2200,-1800,2100,700,20300,2500,11100,5000,72000,18100,106200,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758546,500,500,400,3000,500,900,2600,25500,0,0,0,0,400,24900,2000,1700,500,600,600,500,500,3000,400,400,500,600,600,500,-400,-24900,-2000,-1700,2000,600,22700,2400,13100,5600,94700,20500,133900,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758547,500,500,400,3000,500,900,2400,27900,0,0,0,0,400,27400,1800,1500,500,500,600,600,500,3000,400,400,500,500,600,600,-400,-27400,-1800,-1500,1900,600,25100,2200,15000,6200,119800,22700,163700,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758548,500,500,800,3000,500,900,2600,30400,0,0,0,0,400,29900,2100,1300,500,500,500,600,500,3000,800,400,500,500,500,600,-400,-29900,-2100,-1300,1700,600,27600,2000,16700,6800,147400,24700,195600,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758549,500,500,400,3000,500,900,2500,32900,0,0,0,0,400,32400,2000,1200,500,500,500,500,500,3000,400,400,500,500,500,500,-400,-32400,-2000,-1200,1500,600,30100,2300,18200,7400,177500,27000,230100,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758550,600,500,400,3000,600,900,2400,35400,0,0,0,0,400,34900,1900,1100,500,500,500,500,500,3000,400,400,500,500,500,500,-400,-34900,-1900,-1100,1400,600,32600,2200,19600,8000,210100,29200,266900,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758551,600,500,400,3000,600,900,2300,37900,0,0,0,0,300,37400,1800,1000,600,500,500,500,500,3000,400,400,600,500,500,500,-300,-37400,-1800,-1000,1300,600,35100,2100,20900,8600,245200,31300,306000,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758552,600,500,400,3000,600,800,2200,40400,0,0,0,0,200,39800,1700,900,600,600,500,500,500,3000,400,400,600,600,500,500,-200,-39800,-1700,-900,1200,500,37600,2000,22100,9100,282800,33300,347300,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758553,600,500,400,3000,600,700,2100,42800,0,0,0,0,100,42200,1500,800,600,600,600,500,500,3000,400,400,600,600,600,500,-100,-42200,-1500,-800,1100,400,40000,1900,23200,9500,322800,35200,390700,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758554,500,500,0,3000,500,600,1500,45200,0,0,0,0,0,44600,900,600,600,600,600,600,500,3000,0,400,600,600,600,600,0,-44600,-900,-600,1000,300,42400,1700,24200,9800,365200,36900,436100,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758555,500,500,400,3000,500,500,1300,47600,0,0,0,0,0,47000,700,400,500,600,600,600,500,3000,400,400,500,600,600,600,0,-47000,-700,-400,800,200,44800,1100,25000,10000,410000,38000,483000,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
1758556,500,500,0,1500,500,500,700,48500,0,0,0,0,0,48000,100,200,500,500,600,600,500,1500,0,400,500,500,600,600,0,-48000,-100,-200,600,200,47200,900,25600,10200,457200,38900,531900,400,7800,29300,"cmmm3xjar000nkz04vsqhw15o"
