category,Supply Chain Cost,Target
1,800,29300
2,1600,29300
3,2400,29300
4,3600,29300
5,5073,29300
6,7594,29300
7,11869,29300
8,16590,29300
9,20671,29300
10,24136,29300
11,27280,29300
12,29678,29300
13,32522,29300
14,35611,29300
15,38016,29300
16,40537,29300
17,42294,29300
18,43514.5,29300
19,44841.5,29300
20,45931,29300
21,46820.5,29300
22,47760,29300
23,49167.5,29300
24,50359.5,29300
