category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,1000,200,100,100
2,100,400,2000,150,400
3,500,500,2000,3000,400
4,2000,500,10000,6000,400
5,6000,500,10000,20000,400
6,45000,200,50000,50000,400
7,45000,500,50000,500000,400
8,1000000,500,10000,250000,400
9,1000000,0,0,250000,400
10,250000,1000,0,100000,400
11,0,100,0,0,400
12,0,1,0,0,400
13,0,0,0,0,400
14,0,0,0,0,400
15,0,500,0,0,400
16,0,500,0,0,400
17,100,200,0,0,400
18,100,500,0,0,400
19,0,500,0,0,400
20,0,500,0,0,400
21,0,500,0,0,400
22,0,500,0,0,400
23,0,0,0,0,400
24,0,0,0,0,400
