id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1758422,200,5000,100,100,200,5000,100,100,0,400,400,400,4500,0,0,0,100,100,100,100,5000,100,100,100,500,100,100,100,-4500,400,400,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758429,10000,1000,0,100,10000,5500,0,100,0,800,500,100,5300,0,0,0,200,500,100,100,1000,100,0,400,200,100,0,400,-5300,800,500,100,200,4700,200,200,400,4900,400,400,6100,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758438,2000,3000,500,20,2000,8300,500,20,1700,980,100,0,0,0,0,300,10000,200,100,0,3000,20,500,400,8300,20,500,100,1700,980,100,-300,200,5500,400,250,600,10400,800,650,12450,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758442,2000,1000,1000,600,2000,1000,1000,600,2700,8680,0,0,0,0,880,200,2000,8300,20,500,1000,600,1000,400,1000,600,120,500,2700,8680,-880,-200,500,850,490,200,1100,11250,1290,850,14490,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758446,1500,0,700,800,1500,0,1580,800,4700,8880,0,0,0,0,980,480,2000,1000,600,120,0,800,700,400,0,800,600,120,4700,8880,-980,-480,400,1350,4340,1080,1500,12600,5630,1930,21660,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758449,0,0,1000,800,0,0,1980,800,6200,8080,0,0,0,0,1180,280,1500,0,800,600,0,800,1000,400,0,800,800,600,6200,8080,-1180,-280,680,2350,4440,1180,2180,14950,10070,3110,30310,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758451,0,0,1000,800,0,0,2180,800,6200,7280,0,120,0,0,1380,0,0,0,800,800,0,800,1000,400,0,800,800,680,6200,7280,-1380,120,480,3100,4040,1380,2660,18050,14110,4490,39310,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758456,0,0,500,1300,0,0,1880,1300,6200,5980,0,520,0,0,1080,0,0,0,800,800,0,1300,500,400,0,1300,800,400,6200,5980,-1080,520,200,3100,3640,1580,2860,21150,17750,6070,47830,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758463,0,1000,500,1000,0,1000,1580,1000,5200,4980,0,920,0,0,280,0,0,0,1300,800,1000,1000,500,400,1000,1000,1300,400,5200,4980,-280,920,260,3100,2990,1280,3120,24250,20740,7350,55460,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758471,500,500,200,600,500,500,480,600,4700,5380,520,1820,0,0,0,0,0,1000,1000,1300,500,600,200,400,500,600,480,400,4700,5380,520,1820,460,2600,2490,480,3580,26850,23230,7830,61490,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758473,500,0,0,0,500,0,0,0,5200,5880,1120,1900,0,0,0,0,500,500,600,480,0,0,0,400,0,0,0,400,5200,5880,1120,1900,910,2350,2690,260,4490,29200,25920,8090,67700,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758476,0,0,0,0,0,0,0,0,5700,5880,1120,1500,0,0,0,0,500,0,0,0,0,0,0,400,0,0,0,400,5700,5880,1120,1500,950,2600,2940,560,5440,31800,28860,8650,74750,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758478,0,0,0,0,0,0,0,0,5700,5880,1120,1100,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,400,5700,5880,1120,1100,750,2850,2940,560,6190,34650,31800,9210,81850,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758479,0,0,0,0,0,0,0,0,5700,5880,1120,700,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,400,5700,5880,1120,700,550,2850,2940,560,6740,37500,34740,9770,88750,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758482,0,0,100,0,0,0,100,0,5700,5880,1020,300,0,0,0,0,0,0,0,0,0,0,100,400,0,0,100,400,5700,5880,1020,300,350,2850,2940,560,7090,40350,37680,10330,95450,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758484,0,0,300,0,0,0,300,0,5700,5880,720,0,0,0,0,0,0,0,0,100,0,0,300,400,0,0,300,400,5700,5880,720,0,200,2850,2940,510,7290,43200,40620,10840,101950,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758488,0,0,300,0,0,0,300,0,5700,5880,420,0,0,0,0,100,0,0,0,300,0,0,300,400,0,0,300,300,5700,5880,420,-100,200,2850,2940,360,7490,46050,43560,11200,108300,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758489,0,0,700,100,0,0,700,100,5700,5780,0,0,0,0,280,200,0,0,0,300,0,100,700,400,0,100,420,300,5700,5780,-280,-200,300,2850,2940,210,7790,48900,46500,11410,114600,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758493,0,0,700,900,0,0,980,900,5700,4880,0,0,0,0,880,180,0,0,100,420,0,900,700,400,0,900,100,420,5700,4880,-880,-180,400,2850,2890,480,8190,51750,49390,11890,121220,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758499,0,0,800,1300,0,0,1680,1300,5700,3580,0,0,0,0,780,480,0,0,900,100,0,1300,800,400,0,1300,900,100,5700,3580,-780,-480,380,2850,2440,1080,8570,54600,51830,12970,127970,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758505,0,500,1000,700,0,500,1780,700,5200,2880,0,20,0,0,480,0,0,0,1300,900,500,700,1000,400,500,700,1300,880,5200,2880,-480,20,680,2850,1790,980,9250,57450,53620,13950,134270,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758507,1,500,500,1000,1,500,980,1000,4700,2380,0,920,0,0,280,0,0,500,700,1300,500,1000,500,400,500,1000,700,400,4700,2380,-280,920,200,2600,1440,680,9450,60050,55060,14630,139190,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758509,1,0,0,700,1,0,280,700,4701,2180,720,1220,0,0,0,0,1,500,1000,700,0,700,0,400,0,700,280,400,4701,2180,720,1220,460,2350,1190,480,9910,62400,56250,15110,143670,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
1758512,0,0,0,0,0,0,0,0,4702,2180,1420,1100,0,0,0,0,1,0,700,280,0,0,0,400,0,0,0,400,4702,2180,1420,1100,610,2350.5,1090,360,10520,64750.5,57340,15470,148080.5,400,7800,29300,"cmmm3xjaq000hkz04dpdx9mgc"
