category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,400,400,400
2,450,100,400,350,400
3,370,-200,150,400,400
4,470,-200,-200,0,400
5,-130,-400,-200,-500,400
6,-830,-200,-300,-330,400
7,-1230,-500,70,-1130,400
8,-1830,-200,-130,-1630,400
9,-3330,-330,-130,-1530,400
10,-3330,-430,760,-1330,400
11,-7330,-690,1360,1070,400
12,-5430,-690,2690,2070,400
13,570,-990,2390,4570,400
14,1170,-1090,1390,10000,400
15,780,-490,-610,10100,400
16,980,500,-2310,9200,400
17,1480,400,-2010,8200,400
18,1980,1300,-1710,6700,400
19,1990,2200,-220,5200,400
20,2090,3300,1270,4700,400
21,2100,3130,1770,4500,400
22,2200,2730,1970,4400,400
23,2220,2330,1970,4400,400
24,2220,2030,1870,4400,400
