category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,120,10000,50,20,100
2,0,7,15000,40,400
3,0,10000,1000,15000,400
4,16000,1,10000,8000,400
5,20000,1000,1000,15000,400
6,25000,1000000,1000,16000,400
7,25000,100,100000,5000,400
8,10000,380,100000,30000,400
9,50000,0,100000,50000,400
10,100000,0,100000,160000,400
11,100000,0,100000,180000,400
12,250000,0,100000,200000,400
13,500000,0,100000,220000,400
14,500000,0,100000,220000,400
15,400000,2,50000,150000,400
16,0,2,20000,50000,400
17,0,0,0,20000,400
18,0,0,20000,0,400
19,0,67,25000,0,400
20,0,118250,25000,0,400
21,0,0,50000,0,400
22,0,0,50000,0,400
23,0,1000000,50000,0,400
24,0,1000000,50000,0,400
