id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1682850,100,200,12,100,100,200,12,100,300,400,488,400,0,0,0,0,100,100,100,100,200,100,12,100,200,100,12,100,300,400,488,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1682912,150,100,100,12,150,100,100,12,300,588,488,12,0,0,0,0,100,200,100,12,100,12,100,400,100,12,100,400,300,588,488,12,200,200,200,244,400,400,400,444,1644,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1682941,100,0,120,0,100,0,120,0,450,688,380,0,0,0,0,288,150,100,12,100,0,0,120,400,0,0,120,112,450,688,380,-288,200,200,294,244,600,600,694,688,2582,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1682977,100,0,300,0,100,0,300,0,550,688,80,0,0,0,0,568,100,0,0,120,0,0,300,400,0,0,300,120,550,688,80,-568,488,225,344,200,1088,825,1038,888,3839,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1682985,0,0,600,200,0,0,600,200,650,488,0,0,0,0,520,668,100,0,0,300,0,200,600,400,0,200,80,300,650,488,-520,-668,768,275,344,200,1856,1100,1382,1088,5426,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1682998,0,0,100,1000,0,0,620,1000,650,0,0,0,0,512,420,988,0,0,200,80,0,1000,100,400,0,488,200,80,650,-512,-420,-988,868,325,244,720,2724,1425,1626,1808,7583,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1683024,0,812,1200,1000,0,812,1620,1512,0,0,0,0,162,1512,1132,1188,0,0,488,200,812,1000,1200,400,650,0,488,200,-162,-1512,-1132,-1188,1188,325,712,620,3912,1750,2338,2428,10428,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1683081,500,2512,300,3000,500,2674,1432,4512,0,0,0,0,2674,3862,1432,1100,0,650,0,488,2512,3000,300,400,0,650,0,488,-2674,-3862,-1432,-1100,1388,362,1712,1332,5300,2112,4050,3760,15222,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1683100,3000,6862,200,3000,3000,9536,1632,6862,0,0,0,0,9036,6862,982,1500,500,0,650,0,6862,3000,200,400,500,0,650,0,-9036,-6862,-982,-1500,1300,2874,4062,1632,6600,4986,8112,5392,25090,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
1683140,12000,9862,1500,3000,12000,18898,2482,9862,0,0,0,0,15898,9362,2482,1250,3000,500,0,650,9862,3000,1500,400,3000,500,0,650,-15898,-9362,-2482,-1250,1700,9236,7062,1182,8300,14222,15174,6574,44270,400,7800,29300,"cmkwp7sdp000ei604pmtudcdx"
