category,Factory,Retailer,Wholesaler,Distributor
1,300,400,488,400
2,300,12,488,588
3,450,0,380,688
4,550,0,80,688
5,650,0,0,488
6,650,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,21102,0,0,0
13,53102,1050,0,3536
14,51102,12650,7380,0
15,31102,20232,13916,3036
16,43102,19832,22880,28036
17,62102,19432,22880,28036
18,66102,19032,22880,28036
19,66082,18632,22880,29036
20,66062,18232,22880,29056
21,67052,17832,22880,29076
22,67552,17432,22880,29086
23,68552,17032,22880,29086
24,68552,16632,22880,29086
