category,Factory,Retailer,Wholesaler,Distributor
1,400,400,500,400
2,400,0,550,500
3,400,0,50,600
4,400,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,1200,0,0
12,0,6800,0,0
13,0,26400,0,0
14,0,36000,0,0
15,0,135600,0,0
16,0,1135200,0,0
17,0,2134800,127749,0
18,0,3006651,1127749,0
19,0,3006251,2127749,21200
20,26800,3005851,3106549,1021200
21,1000000,3005451,3106549,1994400
22,1000000,3005051,3106549,1994400
23,1000000,3004651,3106549,1994400
24,1000000,3004251,2106549,1994400
