category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,500,400,400
2,400,0,550,500,400
3,400,-350,50,600,400
4,400,-250,-450,0,400
5,-200,-600,-850,-400,400
6,-1400,-400,-1850,-1000,400
7,-2800,-800,-11450,-4000,400
8,-8200,-800,-1011450,-16400,400
9,-3200,-1200,-1010851,-1013800,400
10,-83200,-1000,-2008251,-2007800,400
11,-1073200,1200,-3002251,-2987800,400
12,-1973200,6800,-2982251,-3977800,400
13,-1973200,26400,-2972251,-4877800,400
14,-1973200,36000,-2872251,-4877800,400
15,-1973200,135600,-1872251,-3977800,400
16,-1973200,1135200,-872251,-2978800,400
17,-1973200,2134800,127749,-1978800,400
18,-1973200,3006651,1127749,-978800,400
19,-973200,3006251,2127749,21200,400
20,26800,3005851,3106549,1021200,400
21,1000000,3005451,3106549,1994400,400
22,1000000,3005051,3106549,1994400,400
23,1000000,3004651,3106549,1994400,400
24,1000000,3004251,2106549,1994400,400
