category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,0,100,100,100
2,0,50,0,100,400
3,0,500,0,0,400
4,0,500,600,0,400
5,0,1000,400,600,400
6,600,1000,1000,1200,400
7,2600,10000,3000,2000,400
8,6000,1000000,13000,8000,400
9,20000,1,1000000,1000,400
10,10000,1000000,1000000,100000,400
11,100000,1000000,1000000,1000000,400
12,1000000,0,1000000,1000000,400
13,1000000,0,1000000,1000000,400
14,1000000,0,1000000,1000000,400
15,1000000,0,100000,1000000,400
16,1000000,0,1000,1000000,400
17,1000000,0,0,1000000,400
18,1000000,0,0,1000000,400
19,1000000,0,0,0,400
20,973200,0,0,0,400
21,0,0,0,0,400
22,0,0,0,0,400
23,0,0,0,0,400
24,0,1000000,0,0,400
