category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,400,400,400
2,400,100,400,400,400
3,700,-200,15,500,400
4,600,-115,-458,0,400
5,400,-500,-321,-900,400
6,-800,-300,-675,-1700,400
7,-1100,-600,-921,-1300,400
8,-300,-800,-860,-1321,400
9,500,-700,-1094,-821,400
10,600,-900,-523,-821,400
11,0,-300,-448,-850,400
12,-800,-200,-469,-575,400
13,1000,-200,-187,-1602,400
14,100,100,-503,-1102,400
15,-1100,-200,84,-421,400
16,-400,316,872,-321,400
17,-100,328,562,879,400
18,100,338,475,1379,400
19,300,346,68,979,400
20,300,353,162,579,400
21,0,359,157,679,400
22,-200,364,-248,719,400
23,300,121,-392,326,400
24,400,-19,-402,26,400
