category,supply_chain_cost,Target
1,800,29300
2,1700,29300
3,2600,29300
4,3860,29300
5,5460,29300
6,8530,29300
7,13970,29300
8,26480,29300
9,47360,29300
10,81670,29300
11,132560,29300
12,201130,29300
13,251100,29300
14,293765,29300
15,420740,29300
16,550765,29300
17,674090,29300
18,813460,29300
19,942115,29300
20,1060825,29300
21,1188350,29300
22,1327920,29300
23,1465775,29300
24,1635430,29300
