category,Supply Chain Cost,Target
1,800,29300
2,1650,29300
3,2575,29300
4,3825,29300
5,5325,29300
6,8175,29300
7,13625,29300
8,33475,29300
9,1071125,29300
10,3100976,29300
11,7202027,29300
12,14266478,29300
13,23203729,29300
14,33040780,29300
15,42782631,29300
16,50674282,29300
17,57066733,29300
18,62150407.5,29300
19,67170007.5,29300
20,70721007.5,29300
21,74301207.5,29300
22,78854407.5,29300
23,83407407.5,29300
24,87960207.5,29300
