category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,100,100,100,100
2,400,100,100,100,400
3,0,485,0,100,400
4,0,473,600,100,400
5,100,463,1000,200,400
6,200,454,1000,1300,400
7,1000,446,100,500,400
8,1000,439,221,200,400
9,500,434,500,200,400
10,100,429,500,400,400
11,100,425,429,700,400
12,2000,421,425,900,400
13,300,418,1127,200,400
14,0,416,500,1200,400
15,1200,413,519,1200,400
16,500,412,0,500,400
17,200,410,0,200,400
18,200,408,0,0,400
19,100,407,500,0,400
20,0,406,400,100,400
21,0,405,0,300,400
22,500,405,260,200,400
23,100,404,393,0,400
24,0,403,500,0,400
