category,Supply Chain Cost,Target
1,800,29300
2,11165,29300
3,36082,29300
4,85799,29300
5,152917,29300
6,220615,29300
7,1269173,29300
8,2365851,29300
9,3528859,29300
10,4791667,29300
11,6237935,29300
12,7817783,29300
13,9452431,29300
14,10981879,29300
15,12031127,29300
16,12899722,29300
17,13863409,29300
18,14962361,29300
19,16071113,29300
20,17147232,29300
21,18313901,29300
22,19442870,29300
23,20509139,29300
24,22525208,29300
