category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,0,0,120,100
2,100,100,100,0,400
3,0,600,100,80,400
4,80,600,500,150,400
5,150,1500,0,600,400
6,600,500,2000,700,400
7,720,2000,2500,3500,400
8,3500,1500,3520,5000,400
9,15000,3000,5000,10000,400
10,15000,3000,8000,25000,400
11,50000,1500,10000,40000,400
12,100000,800,10000,40000,400
13,80000,150,2000,50000,400
14,500,8000,0,0,400
15,0,2000,0,0,400
16,0,15000,0,0,400
17,0,17000,5000,0,400
18,0,0,15000,0,400
19,0,0,15000,0,400
20,0,0,5000,0,400
21,0,50000,0,0,400
22,0,0,30000,0,400
23,0,76000,28000,0,400
24,0,76000,100000,0,400
