category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,12,100,200,100
2,150,100,12,100,400
3,100,120,0,0,400
4,100,300,0,0,400
5,0,600,200,0,400
6,0,100,1000,0,400
7,0,1200,1000,812,400
8,500,300,3000,2512,400
9,3000,200,3000,6862,400
10,12000,1500,3000,9862,400
11,40000,600,3000,0,400
12,35000,10000,3000,15000,400
13,10000,10000,15000,3000,400
14,5000,400,15000,12000,400
15,12000,0,500,25000,400
16,19000,0,0,0,400
17,5000,0,0,0,400
18,0,0,0,1000,400
19,0,0,0,20,400
20,1000,0,0,20,400
21,500,0,0,10,400
22,1000,0,0,0,400
23,0,0,0,0,400
24,5000,0,0,0,400
