id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1047426,100,120,0,0,100,120,0,0,380,500,500,400,0,0,0,0,100,100,100,100,120,0,0,100,120,0,0,100,380,500,500,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047432,100,0,100,100,100,0,100,100,480,520,400,0,0,0,0,0,100,120,0,0,0,100,100,400,0,100,100,400,480,520,400,0,200,200,250,250,400,400,450,450,1700,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047449,0,80,600,100,0,80,600,100,500,420,0,0,0,0,100,300,100,0,100,100,80,100,600,400,80,100,500,100,500,420,-100,-300,200,240,260,200,600,640,710,650,2600,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047460,80,150,600,500,80,150,700,500,350,0,0,0,0,0,600,200,0,80,100,500,150,500,600,400,150,500,100,500,350,0,-600,-200,500,250,210,300,1100,890,920,950,3860,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047473,150,600,1500,0,150,600,2100,0,0,150,0,0,170,0,1600,500,80,150,500,100,600,0,1500,400,430,0,500,100,-170,150,-1600,-500,400,200,200,800,1500,1090,1120,1750,5460,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047478,600,700,500,2000,600,870,2100,2000,0,0,0,0,720,1420,2100,400,150,430,0,500,700,2000,500,400,150,580,0,500,-720,-1420,-2100,-400,700,370,200,1800,2200,1460,1320,3550,8530,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047485,720,3500,2000,2500,720,4220,4100,3920,0,0,0,0,3620,3770,3520,800,600,150,580,0,3500,2500,2000,400,600,150,580,0,-3620,-3770,-3520,-800,600,920,1620,2300,2800,2380,2940,5850,13970,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047500,3500,5000,1500,3520,3500,8620,5020,7290,0,0,0,0,7900,6690,4870,620,720,600,150,580,5000,3520,1500,400,720,600,150,580,-7900,-6690,-4870,-620,1000,3820,3970,3720,3800,6200,6910,9570,26480,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047505,15000,10000,3000,5000,15000,17900,7870,11690,0,0,0,0,14400,10970,7270,870,3500,720,600,150,10000,5000,3000,400,3500,720,600,150,-14400,-10970,-7270,-870,820,8100,6890,5070,4620,14300,13800,14640,47360,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
1047512,15000,25000,3000,8000,15000,39400,10270,18970,0,0,0,0,24400,15470,9550,670,15000,3500,720,600,25000,8000,3000,400,15000,3500,720,600,-24400,-15470,-9550,-670,1070,14600,11170,7470,5690,28900,24970,22110,81670,400,7800,29300,"61674f5c00da11f0b1c08eccb4671098"
