category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,100,200,100000,0,100
2,150,50,200,99600,400
3,100000,250,0,200,400
4,100050,600,150,0,400
5,500,600,0,0,400
6,3,300,800,0,400
7,100000,150,0,5000,400
8,2,200,0,0,400
9,20000,400,0,0,400
10,100000,400,0,0,400
11,200000,400,0,0,400
12,0,400,0,0,400
13,0,400,0,0,400
14,0,650,0,0,400
15,0,650,0,0,400
16,0,650,0,0,400
17,100,500,0,0,400
18,0,0,0,0,400
19,0,0,0,0,400
20,0,400,0,0,400
21,0,400,0,0,400
22,0,400,0,0,400
23,0,800,0,0,400
24,0,800,0,0,400
