id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1047382,200,100,0,200,200,100,0,200,400,300,500,400,0,0,0,0,100,100,100,100,100,200,0,100,100,200,0,100,400,300,500,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047393,150,250,0,0,150,250,0,0,350,400,700,0,0,0,0,0,200,100,200,0,250,0,0,400,250,0,0,400,350,400,700,0,200,200,200,250,400,400,400,450,1650,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047407,150,50,600,0,150,50,600,0,450,650,100,0,0,0,0,400,150,250,0,0,50,0,600,400,50,0,600,0,450,650,100,-400,200,200,200,350,600,600,600,800,2600,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047421,0,0,600,900,0,0,600,900,600,0,0,0,0,200,500,200,150,50,0,600,0,900,600,400,0,700,100,600,600,-200,-500,-200,600,225,325,200,1200,825,925,1000,3950,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047439,0,1100,1000,1500,0,1100,1500,1700,0,0,0,0,500,1700,800,500,0,0,700,100,1100,1500,1000,400,600,0,700,100,-500,-1700,-800,-500,400,300,400,700,1600,1125,1325,1700,5750,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047467,2000,2500,800,2000,2000,3000,1600,3700,0,0,0,0,3000,3100,1600,200,0,600,0,700,2500,2000,800,400,0,600,0,700,-3000,-3100,-1600,-200,700,700,1900,1000,2300,1825,3225,2700,10050,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047471,8000,6000,0,4000,8000,9000,1600,7100,0,0,0,0,7000,7100,1000,600,2000,0,600,0,6000,4000,0,400,2000,0,600,0,-7000,-7100,-1000,-600,400,3200,3300,1800,2700,5025,6525,4500,18750,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047492,18000,10000,1200,4000,18000,17000,2200,11100,0,0,0,0,9000,9100,2200,400,8000,2000,0,600,10000,4000,1200,400,8000,2000,0,600,-9000,-9100,-2200,-400,800,7200,7300,1200,3500,12225,13825,5700,35250,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047521,12000,15000,800,8000,12000,24000,3000,17100,0,0,0,0,6000,9100,1000,800,18000,8000,2000,0,15000,8000,800,400,18000,8000,2000,0,-6000,-9100,-1000,-800,600,9200,9300,2400,4100,21425,23125,8100,56750,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
1047539,9000,20000,1500,10000,9000,26000,2500,19100,0,0,5500,800,14000,1100,0,0,12000,18000,8000,2000,20000,10000,1500,400,12000,18000,2500,1200,-14000,-1100,5500,800,1000,6200,9300,1200,5100,27625,32425,9300,74450,400,7800,29300,"a17917bc00d811f0b1c08eccb4671098"
