category,Factory,Retailer,Wholesaler,Distributor
1,500,400,300,0
2,0,200,750,0
3,0,0,500,0
4,950,0,500,0
5,101000,0,50,0
6,101500,100,98800,0
7,96503,0,98650,0
8,196503,0,98450,4150
9,196505,0,98900,4150
10,216505,0,98500,4150
11,316505,0,98100,4150
12,516505,0,97700,4150
13,516505,0,97300,4150
14,516505,0,96650,4150
15,516505,0,96000,4150
16,516505,50,95350,4150
17,516505,300,94850,4150
18,516605,400,94850,4150
19,516605,0,94850,4150
20,516605,0,94450,4150
21,516605,0,94050,4150
22,516605,0,93650,4150
23,516605,0,92850,4150
24,516605,0,92050,4150
