id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1758180,100,500,100,0,100,500,100,0,0,500,400,400,0,0,0,0,100,100,100,100,500,0,100,100,500,0,100,100,0,500,400,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758188,1000,100,100,0,1000,100,100,0,0,1000,300,100,0,0,0,0,100,500,0,100,100,0,100,400,100,0,100,400,0,1000,300,100,200,200,250,200,400,400,450,400,1650,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758189,500,0,20,100,500,0,20,100,1000,1000,280,0,0,0,0,200,1000,100,0,100,0,100,20,400,0,100,20,200,1000,1000,280,-200,200,200,500,200,600,600,950,600,2750,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758192,0,0,20,120,0,0,20,120,1500,880,360,0,0,0,0,580,500,0,100,20,0,120,20,400,0,120,20,20,1500,880,360,-580,400,500,500,200,1000,1100,1450,800,4350,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758196,0,0,960,0,0,0,960,0,1500,880,0,0,0,0,480,960,0,0,120,20,0,0,960,400,0,0,480,20,1500,880,-480,-960,780,750,440,200,1780,1850,1890,1000,6520,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758199,0,0,1340,760,0,0,1820,760,1500,120,0,0,0,0,1820,880,0,0,0,480,0,760,1340,400,0,760,0,480,1500,120,-1820,-880,1160,750,440,680,2940,2600,2330,1680,9550,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758203,0,400,800,2000,0,400,2620,2000,1100,0,0,0,0,1880,1860,1280,0,0,760,0,400,2000,800,400,400,120,760,0,1100,-1880,-1860,-1280,1080,750,200,2020,4020,3350,2530,3700,13600,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758208,4000,3500,1680,1000,4000,3500,3540,2880,0,0,0,0,2400,2480,3420,920,0,400,120,760,3500,1000,1680,400,1100,400,120,760,-2400,-2480,-3420,-920,1480,550,2080,2060,5500,3900,4610,5760,19770,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758212,1000,5000,560,7000,1000,7400,3980,9480,0,0,0,0,3400,8380,3580,1200,4000,1100,400,120,5000,7000,560,400,4000,1100,400,120,-3400,-8380,-3580,-1200,1120,2600,2680,3620,6620,6500,7290,9380,29790,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758222,2000,15000,1480,7000,2000,18400,5060,15380,0,0,0,0,17400,11380,3960,1200,1000,4000,1100,400,15000,7000,1480,400,1000,4000,1100,400,-17400,-11380,-3960,-1200,1400,3600,8580,3780,8020,10100,15870,13160,47150,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758233,10000,30000,1200,2000,10000,47400,5160,13380,0,0,0,0,45400,12380,1160,500,2000,1000,4000,1100,30000,2000,1200,400,2000,1000,4000,1100,-45400,-12380,-1160,-500,1400,17600,11580,4160,9420,27700,27450,17320,81890,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758240,0,15000,200,1000,0,60400,1360,13380,0,0,0,3100,50400,11380,360,0,10000,2000,1000,4000,15000,1000,200,400,10000,2000,1000,900,-50400,-11380,-360,3100,700,45600,12580,1360,10120,73300,40030,18680,142130,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758250,0,5000,0,500,0,55400,360,11880,0,0,1640,3700,55400,1880,0,0,0,10000,2000,1000,5000,500,0,400,0,10000,360,400,-55400,-1880,1640,3700,1550,50600,11580,560,11670,123900,51610,19240,206420,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758267,5000,8000,0,0,5000,63400,0,1880,0,0,11640,3660,63400,1880,0,0,0,0,10000,360,8000,0,0,400,0,0,0,400,-63400,-1880,11640,3660,1850,55600,2080,820,13520,179500,53690,20060,266770,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758297,5000,8000,0,0,5000,71400,0,1880,0,0,11640,3260,66400,1880,0,0,5000,0,0,0,8000,0,0,400,5000,0,0,400,-66400,-1880,11640,3260,1830,63600,2080,5820,15350,243100,55770,25880,340100,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758303,5000,6000,0,0,5000,72400,0,1880,0,3120,11640,2860,67400,0,0,0,5000,5000,0,0,6000,0,0,400,5000,1880,0,400,-67400,3120,11640,2860,1630,66600,2080,5820,16980,309700,57850,31700,416230,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758311,5000,1000,0,0,5000,68400,0,0,0,8120,13520,2460,63400,0,0,0,5000,5000,1880,0,1000,0,0,400,5000,0,0,400,-63400,8120,13520,2460,1430,67600,1560,5820,18410,377300,59410,37520,492640,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758321,5000,80,0,0,5000,63480,0,0,0,13120,13520,2060,58480,0,0,0,5000,5000,0,0,80,0,0,400,5000,0,0,400,-58480,13120,13520,2060,1230,63600,4060,6760,19640,440900,63470,44280,568290,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758334,5000,0,0,0,5000,58480,0,0,0,18120,13520,1660,53480,0,0,0,5000,5000,0,0,0,0,0,400,5000,0,0,400,-53480,18120,13520,1660,1030,58680,6560,6760,20670,499580,70030,51040,641320,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758345,5000,0,0,0,5000,53480,0,0,0,23120,13520,1260,48480,0,0,0,5000,5000,0,0,0,0,0,400,5000,0,0,400,-48480,23120,13520,1260,830,53680,9060,6760,21500,553260,79090,57800,711650,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758354,0,0,0,0,0,48480,0,0,0,28120,13520,860,43480,0,0,0,5000,5000,0,0,0,0,0,400,5000,0,0,400,-43480,28120,13520,860,630,48680,11560,6760,22130,601940,90650,64560,779280,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758359,0,0,0,0,0,43480,0,0,0,33120,13520,460,43480,0,0,0,0,5000,0,0,0,0,0,400,0,0,0,400,-43480,33120,13520,460,430,43680,14060,6760,22560,645620,104710,71320,844210,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758383,0,0,400,0,0,43480,400,0,0,33120,13120,60,43480,0,0,0,0,0,0,0,0,0,400,400,0,0,400,400,-43480,33120,13120,60,230,43680,16560,6760,22790,689300,121270,78080,911440,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
1758398,2000,0,0,0,2000,43480,0,0,0,33120,13120,60,43480,0,0,0,0,0,0,400,0,0,0,400,0,0,0,400,-43480,33120,13120,60,200,43680,16560,6560,22990,732980,137830,84640,978440,400,7800,29300,"cmmm2jp850008ii04pfhl1wa9"
