category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,-500,300,400
2,350,500,-700,-1600,400
3,-2550,300,-800,-3450,400
4,-8050,300,-1150,-13000,400
5,-26050,50,-1200,-22500,400
6,-70050,100,-900,-70500,400
7,-525050,200,600,-114500,400
8,-730050,1200,6100,-79500,400
9,19950,1300,51100,-34500,400
10,919950,900,95100,945550,400
11,1169950,1500,129500,1045550,400
12,1169950,1200,129499,1045550,400
13,1169950,801,129499,1045550,400
14,1169950,401,129499,1045550,400
15,1169950,1,128999,1045550,400
16,1169950,101,128499,1045550,400
17,1169950,201,128299,1045550,400
18,1170050,1,127799,1045550,400
19,1170150,101,127299,1045550,400
20,1170150,201,126799,1045550,400
21,1170150,301,126299,1045550,400
22,1170150,401,125799,1045550,400
23,1170150,501,125799,1045550,400
24,1170150,101,125799,1045550,400
