id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1682809,100,100,0,100,100,100,0,100,400,400,500,400,0,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,400,400,500,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682820,0,100,50,0,0,100,50,0,400,500,550,0,0,0,0,0,100,100,100,0,100,0,50,400,100,0,50,400,400,500,550,0,200,200,200,250,400,400,400,450,1650,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682842,0,0,500,0,0,0,500,0,400,600,50,0,0,0,0,350,0,100,0,50,0,0,500,400,0,0,500,50,400,600,50,-350,200,200,250,275,600,600,650,725,2575,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682858,0,0,500,600,0,0,500,600,400,0,0,0,0,0,450,250,0,0,0,500,0,600,500,400,0,600,50,500,400,0,-450,-250,550,200,300,200,1150,800,950,925,3825,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682887,0,600,1000,400,0,600,1450,400,0,0,0,0,200,400,850,600,0,0,600,50,600,400,1000,400,400,0,600,50,-200,-400,-850,-600,450,200,200,650,1600,1000,1150,1575,5325,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682904,600,1200,1000,1000,600,1400,1850,1400,0,0,0,0,1400,1000,1850,400,0,400,0,600,1200,1000,1000,400,0,400,0,600,-1400,-1000,-1850,-400,800,400,600,1050,2400,1400,1750,2625,8175,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682928,2600,2000,10000,3000,2600,3400,11850,4000,0,0,0,0,2800,4000,11450,800,600,0,400,0,2000,3000,10000,400,600,0,400,0,-2800,-4000,-11450,-800,600,1600,1200,2050,3000,3000,2950,4675,13625,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682959,6000,8000,1000000,13000,6000,10800,1011450,17000,0,0,0,0,8200,16400,1011450,800,2600,600,0,400,8000,13000,1000000,400,2600,600,0,400,-8200,-16400,-1011450,-800,1000,3000,4200,11650,4000,6000,7150,16325,33475,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682983,20000,1000,1,1000000,20000,9200,1011451,1016400,0,0,0,0,3200,1013800,1010851,1200,6000,2600,600,0,1000,1000000,1,400,6000,2600,600,0,-3200,-1013800,-1010851,-1200,1000,8400,16600,1011650,5000,14400,23750,1027975,1071125,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1682992,10000,100000,1000000,1000000,10000,103200,2010851,2013800,0,0,0,0,83200,2007800,2008251,1000,20000,6000,2600,600,100000,1000000,1000000,400,20000,6000,2600,600,-83200,-2007800,-2008251,-1000,1400,3400,1014000,1011051,6400,17800,1037750,2039026,3100976,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683006,100000,1000000,1000000,1000000,100000,1083200,3008251,3007800,0,0,0,1200,1073200,2987800,3002251,0,10000,20000,6000,2600,1000000,1000000,1000000,400,10000,20000,6000,1400,-1073200,-2987800,-3002251,1200,1200,83400,2008000,2008451,7600,101200,3045750,4047477,7202027,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683047,1000000,1000000,0,1000000,1000000,2073200,3002251,3987800,0,0,0,6800,1973200,3977800,2982251,0,100000,10000,20000,6000,1000000,1000000,0,400,100000,10000,20000,400,-1973200,-3977800,-2982251,6800,600,1073400,2988000,3002451,8200,1174600,6033750,7049928,14266478,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683073,1000000,1000000,0,1000000,1000000,2973200,2982251,4977800,0,0,0,26400,1973200,4877800,2972251,0,1000000,100000,10000,20000,1000000,1000000,0,400,1000000,100000,10000,400,-1973200,-4877800,-2972251,26400,3400,1973400,3978000,2982451,11600,3148000,10011750,10032379,23203729,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683089,1000000,1000000,0,1000000,1000000,2973200,2972251,5877800,0,0,0,36000,1973200,4877800,2872251,0,1000000,1000000,100000,10000,1000000,1000000,0,400,1000000,1000000,100000,400,-1973200,-4877800,-2872251,36000,13200,1973400,4878000,2972451,24800,5121400,14889750,13004830,33040780,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683110,1000000,1000000,0,100000,1000000,2973200,2872251,4977800,0,0,0,135600,1973200,3977800,1872251,0,1000000,1000000,1000000,100000,1000000,100000,0,400,1000000,1000000,1000000,400,-1973200,-3977800,-1872251,135600,18000,1973400,4878000,2872451,42800,7094800,19767750,15877281,42782631,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683122,1000000,1000000,0,1000,1000000,2973200,1872251,3978800,0,0,0,1135200,1973200,2978800,872251,0,1000000,1000000,1000000,1000000,1000000,1000,0,400,1000000,1000000,1000000,400,-1973200,-2978800,-872251,1135200,67800,1973400,3978000,1872451,110600,9068200,23745750,17749732,50674282,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
1683130,1000000,1000000,0,0,1000000,2973200,872251,2978800,0,0,127749,2134800,1973200,1978800,0,0,1000000,1000000,1000000,1000000,1000000,0,0,400,1000000,1000000,872251,400,-1973200,-1978800,127749,2134800,567600,1973400,2979000,872451,678200,11041600,26724750,18622183,57066733,400,7800,29300,"cmkwp7sdn0004i6044eve8gj0"
