category,Factory,Retailer,Wholesaler,Distributor,Target
1,400,400,0,400,400
2,420,500,100,-100,400
3,-80,100,400,-250,400
4,-1030,-100,-50,270,400
5,-730,-50,-800,-380,400
6,270,-200,-1280,-980,400
7,270,-280,-1080,-1250,400
8,-2230,-80,50,-450,400
9,-230,1200,1450,520,400
10,8970,1400,2700,3520,400
11,13870,1000,2700,4550,400
12,14870,600,2700,4650,400
13,14970,200,2300,4650,400
14,14970,200,1700,4650,400
15,14970,400,1300,4650,400
16,14970,400,900,4650,400
17,14970,400,500,4650,400
18,14970,400,300,4150,400
19,14970,200,500,4050,400
20,14970,100,400,3950,400
21,14970,-100,200,3850,400
22,14970,-200,-200,3750,400
23,14970,-300,-900,3650,400
24,14970,-600,-1600,-6350,400
