category,Supply Chain Cost,Target
1,800,29300
2,101150,29300
3,300825,29300
4,499975,29300
5,600500,29300
6,651750,29300
7,753150,29300
8,851976.5,29300
9,1001978,29300
10,1152405.5,29300
11,1312633,29300
12,1522660.5,29300
13,1832488,29300
14,2142115.5,29300
15,2451418,29300
16,2760145.5,29300
17,3068348,29300
18,3376300.5,29300
19,3684303,29300
20,3992305.5,29300
21,4300508,29300
22,4608510.5,29300
23,4916313,29300
24,5223715.5,29300
