id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1682808,120,20,10000,50,120,20,10000,50,480,450,0,400,0,0,9500,0,100,100,100,100,20,50,10000,100,20,50,500,100,480,450,-9500,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682825,0,40,7,15000,0,40,9507,15000,560,0,0,500,0,14530,9457,0,120,20,50,500,40,15000,7,400,40,470,50,400,560,-14530,-9457,500,200,240,225,9700,400,440,425,9900,11165,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682847,0,15000,10000,1000,0,15000,19457,15530,0,0,0,150,14440,15490,18987,0,0,40,470,50,15000,1000,10000,400,560,40,470,400,-14440,-15490,-18987,150,250,280,14730,9657,650,720,15155,19557,36082,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682852,16000,8000,1,10000,16000,22440,18988,25490,0,0,0,220,22440,24930,18948,0,0,560,40,470,8000,10000,1,400,0,560,40,400,-22440,-24930,-18948,220,200,14640,15690,19187,850,15360,30845,38744,85799,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682860,20000,15000,1000,1000,20000,37440,19948,25930,0,0,0,0,21440,25930,19388,140,16000,0,560,40,15000,1000,1000,400,16000,0,560,260,-21440,-25930,-19388,-140,200,22640,25130,19148,1050,38000,55975,57892,152917,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682876,25000,16000,1000000,1000,25000,37440,1019388,26930,0,0,0,20,17440,10930,1019388,0,20000,16000,0,560,16000,1000,1000000,400,20000,16000,0,540,-17440,-10930,-1019388,20,340,21640,26130,19588,1390,59640,82105,77480,220615,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682930,25000,5000,100,100000,25000,22440,1019488,110930,2560,0,0,0,0,90930,1003488,380,25000,20000,16000,0,5000,100000,100,400,22440,20000,16000,20,2560,-90930,-1003488,-380,200,17640,11130,1019588,1590,77280,93235,1097068,1269173,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682961,10000,30000,380,100000,10000,30000,1003868,190930,0,0,0,15220,2440,168490,983868,0,25000,22440,20000,16000,30000,100000,380,400,27560,22440,20000,780,-2440,-168490,-983868,15220,580,1280,91130,1003688,2170,78560,184365,2100756,2365851,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682976,50000,50000,0,100000,50000,52440,983868,268490,0,0,0,34820,42440,240930,961428,0,10000,27560,22440,20000,50000,100000,0,400,10000,27560,22440,400,-42440,-240930,-961428,34820,7610,2640,168690,984068,9780,81200,353055,3084824,3528859,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
1682982,100000,160000,0,100000,100000,202440,961428,340930,0,0,0,56860,152440,330930,933868,0,50000,10000,27560,22440,160000,100000,0,400,50000,10000,27560,400,-152440,-330930,-933868,56860,17410,42640,241130,961628,27190,123840,594185,4046452,4791667,400,7800,29300,"cmkwp7sdo0008i6045bsjezt6"
