category,supply_chain_cost,Target
1,800,29300
2,1650,29300
3,2600,29300
4,3950,29300
5,5750,29300
6,10050,29300
7,18750,29300
8,35250,29300
9,56750,29300
10,74450,29300
11,93100,29300
12,123800,29300
13,158950,29300
14,192950,29300
15,238550,29300
16,287450,29300
17,336175,29300
18,384650,29300
19,433025,29300
20,481300,29300
21,529425,29300
22,577500,29300
23,625425,29300
24,672750,29300
