category,Factory,Retailer,Wholesaler,Distributor,Target
1,480,400,-9500,450,400
2,560,500,-9457,-14530,400
3,-14440,150,-18987,-15490,400
4,-22440,220,-18948,-24930,400
5,-21440,-140,-19388,-25930,400
6,-17440,20,-1019388,-10930,400
7,2560,-380,-1003488,-90930,400
8,-2440,15220,-983868,-168490,400
9,-42440,34820,-961428,-240930,400
10,-152440,56860,-933868,-330930,400
11,-232440,84020,-923868,-380930,400
12,-332440,93620,-873868,-380930,400
13,-302440,143220,-773868,-380930,400
14,-22440,242820,-673868,-230930,400
15,327560,342420,-423870,219070,400
16,677560,592020,-142942,371510,400
17,657560,872550,-122942,421510,400
18,657560,892150,-122942,421510,400
19,657560,891750,-103009,396510,400
20,657560,911350,-196259,371510,400
21,657560,935950,-171259,321510,400
22,657560,960550,-121259,271510,400
23,657560,1010150,-1071259,221510,400
24,657560,1059750,-2021259,171510,400
