category,supply_chain_cost,Target
1,800,29300
2,1600,29300
3,2425,29300
4,3425,29300
5,4660,29300
6,6690,29300
7,9150,29300
8,12810,29300
9,17400,29300
10,23520,29300
11,29590,29300
12,39225,29300
13,48125,29300
14,53080,29300
15,60650,29300
16,67590,29300
17,75440,29300
18,82690,29300
19,89590,29300
20,94705,29300
21,100385,29300
22,106135,29300
23,111785,29300
24,117245,29300
