category,Supply Chain Cost,Target
1,800,29300
2,1644,29300
3,2582,29300
4,3839,29300
5,5426,29300
6,7583,29300
7,10428,29300
8,15222,29300
9,25090,29300
10,44270,29300
11,74062,29300
12,92354,29300
13,114999,29300
14,151625,29300
15,195855,29300
16,229998,29300
17,286923,29300
18,353148,29300
19,421173,29300
20,489488,29300
21,557603,29300
22,626023,29300
23,694498,29300
24,763273,29300
