category,Factory,Retailer,Wholesaler,Distributor,Target
1,500,400,350,300,400
2,600,150,150,250,400
3,800,150,0,50,400
4,500,-50,0,-350,400
5,-300,-150,-100,-550,400
6,-1500,-500,-800,-350,400
7,-1300,-600,-1500,-2550,400
8,1200,-500,-2400,-3950,400
9,-600,-600,-4300,-5150,400
10,-5600,100,-3000,-8250,400
11,-15600,2500,-500,-7450,400
12,-23600,5500,2400,-2450,400
13,6400,5700,7400,19550,400
14,56400,5300,9850,63150,400
15,56400,4900,9850,60150,400
16,56400,4500,12850,57150,400
17,56400,4100,15850,57150,400
18,56400,3700,-19150,57150,400
19,56400,19150,-19150,2150,400
20,16400,18750,35850,-17850,400
21,13400,37500,38000,22150,400
22,43400,37100,55850,25150,400
23,43400,36700,55850,25150,400
24,43400,36300,55850,25150,400
