category,supply_chain_cost,Target
1,800,29300
2,1650,29300
3,2550,29300
4,3550,29300
5,4800,29300
6,6700,29300
7,10650,29300
8,17400,29300
9,25450,29300
10,36900,29300
11,54550,29300
12,79950,29300
13,110350,29300
14,129875,29300
15,197225,29300
16,262875,29300
17,328325,29300
18,395075,29300
19,473050,29300
20,531250,29300
21,584800,29300
22,640325,29300
23,721075,29300
24,801625,29300
