id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1047375,100,100,200,50,100,100,200,50,400,450,300,400,0,0,0,0,100,100,100,100,100,50,200,100,100,50,200,100,400,450,300,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047386,100,50,200,100,100,50,200,100,450,450,150,200,0,0,0,0,100,100,50,200,50,100,200,400,50,100,200,400,450,450,150,200,200,200,225,200,400,400,425,400,1625,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047398,0,50,300,200,0,50,300,200,500,300,0,0,0,0,50,0,100,50,100,200,50,200,300,400,50,200,250,400,500,300,-50,0,200,225,225,200,600,625,650,600,2475,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047410,0,200,700,500,0,200,750,500,300,0,0,0,0,150,550,150,0,50,200,250,200,500,700,400,200,350,200,250,300,-150,-550,-150,200,250,200,250,800,875,850,850,3375,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047433,100,200,800,1700,100,200,1350,1850,100,0,0,0,0,1650,1000,350,0,200,350,200,200,1700,800,400,200,200,350,200,100,-1650,-1000,-350,350,200,350,750,1150,1075,1200,1600,5025,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047464,200,1800,800,5000,200,1800,1800,6650,0,0,0,0,1600,6450,1600,400,100,200,200,350,1800,5000,800,400,200,200,200,350,-1600,-6450,-1600,-400,550,200,1850,1200,1700,1275,3050,2800,8825,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047477,2500,14000,800,5000,2500,15600,2400,11450,0,0,0,0,15400,11250,2200,600,200,200,200,200,14000,5000,800,400,200,200,200,200,-15400,-11250,-2200,-600,600,1800,6650,1800,2300,3075,9700,4600,19675,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047499,400,14000,1000,5000,400,29400,3200,16250,0,0,0,0,26900,16050,3000,800,2500,200,200,200,14000,5000,1000,400,2500,200,200,200,-26900,-16050,-3000,-800,800,15600,11450,2400,3100,18675,21150,7000,49925,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047519,5000,14000,100,10000,5000,40900,3100,26050,0,0,0,0,40500,23550,2900,1000,400,2500,200,200,14000,10000,100,400,400,2500,200,200,-40500,-23550,-2900,-1000,1000,27100,16250,3200,4100,45775,37400,10200,97475,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
1047532,800,2500,2000,20000,800,43000,4900,43550,0,0,0,0,38000,43150,2400,1200,5000,400,2500,200,2500,20000,2000,400,5000,400,2500,200,-38000,-43150,-2400,-1200,1200,40700,23750,3100,5300,86475,61150,13300,166225,400,7800,29300,"a3dabdda00d811f0b1c08eccb4671098"
