category,Supply Chain Cost,Target
1,800,29300
2,2100,29300
3,5250,29300
4,12850,29300
5,35850,29300
6,86400,29300
7,228650,29300
8,869100,29300
9,1682700,29300
10,1753575,29300
11,2734325,29300
12,3907575,29300
13,5080674.5,29300
14,6253574.5,29300
15,7426274.5,29300
16,8598724,29300
17,9770923.5,29300
18,10943023,29300
19,12114922.5,29300
20,13286622,29300
21,14458071.5,29300
22,15629271,29300
23,16800221,29300
24,17971221,29300
