category,Factory,Retailer,Wholesaler,Distributor
1,500,400,350,300
2,600,150,150,250
3,800,150,0,50
4,500,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1200,0,0,0
9,0,0,0,0
10,0,100,0,0
11,0,2500,0,0
12,0,5500,2400,0
13,6400,5700,7400,19550
14,56400,5300,9850,63150
15,56400,4900,9850,60150
16,56400,4500,12850,57150
17,56400,4100,15850,57150
18,56400,3700,0,57150
19,56400,19150,0,2150
20,16400,18750,35850,0
21,13400,37500,38000,22150
22,43400,37100,55850,25150
23,43400,36700,55850,25150
24,43400,36300,55850,25150
