category,supply_chain_cost,Target
1,800,29300
2,1650,29300
3,2600,29300
4,3950,29300
5,6540,29300
6,12410,29300
7,27080,29300
8,58760,29300
9,97460,29300
10,131720,29300
11,198050,29300
12,316050,29300
13,440350,29300
14,564449.5,29300
15,688349.5,29300
16,812049.5,29300
17,935549.5,29300
18,1068749.5,29300
19,1206744.5,29300
20,1344544.5,29300
21,1482144.5,29300
22,1619544.5,29300
23,1756594.5,29300
24,1892944.5,29300
