id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1047389,200,0,150,200,200,0,150,200,500,300,350,400,0,0,0,0,100,100,100,100,0,200,150,100,0,200,150,100,500,300,350,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047400,200,100,400,50,200,100,400,50,600,250,150,150,0,0,0,0,200,0,200,150,100,50,400,400,100,50,400,400,600,250,150,150,200,250,200,200,400,450,400,400,1650,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047404,0,0,200,300,0,0,200,300,800,50,0,150,0,0,0,0,200,100,50,400,0,300,200,400,0,300,200,400,800,50,0,150,200,300,200,200,600,750,600,600,2550,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047408,0,300,300,400,0,300,300,400,500,0,0,0,0,350,0,50,0,0,300,200,300,400,300,400,300,50,300,350,500,-350,0,-50,200,400,200,200,800,1150,800,800,3550,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047417,300,800,150,500,300,800,150,850,0,0,0,0,300,550,100,150,0,300,50,300,800,500,150,400,500,300,50,300,-300,-550,-100,-150,250,250,550,200,1050,1400,1350,1000,4800,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047438,1100,1500,1000,300,1100,1800,1100,850,0,0,0,0,1500,350,800,500,300,500,300,50,1500,300,1000,400,300,500,300,50,-1500,-350,-800,-500,350,500,750,300,1400,1900,2100,1300,6700,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047459,4000,900,1200,2500,4000,2400,2000,2850,0,0,0,0,1300,2550,1500,600,1100,300,500,300,900,2500,1200,400,1100,300,500,300,-1300,-2550,-1500,-600,700,1700,550,1000,2100,3600,2650,2300,10650,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047488,2200,1500,1200,2500,2200,2800,2700,5050,1200,0,0,0,0,3950,2400,500,4000,1100,300,500,1500,2500,1200,400,2800,1100,300,500,1200,-3950,-2400,-500,800,1500,2750,1700,2900,5100,5400,4000,17400,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047509,3000,4000,3000,4000,3000,4000,5400,7950,0,0,0,0,600,5150,4300,600,2200,2800,1100,300,4000,4000,3000,400,3400,2800,1100,300,-600,-5150,-4300,-600,700,600,4150,2600,3600,5700,9550,6600,25450,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047524,5000,8000,1500,6500,5000,8600,5800,11650,0,0,0,100,5600,8250,3000,0,3000,3400,2800,1100,8000,6500,1500,400,3000,3400,2800,1000,-5600,-8250,-3000,100,800,800,5350,4500,4400,6500,14900,11100,36900,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047536,22000,15000,900,2200,22000,20600,3900,10450,0,0,0,2500,15600,7450,500,0,5000,3000,3400,2800,15000,2200,900,400,5000,3000,3400,400,-15600,-7450,-500,2500,200,5800,8450,3200,4600,12300,23350,14300,54550,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047562,50000,30000,100,0,50000,45600,600,7450,0,0,2400,5500,23600,2450,0,0,22000,5000,3000,3400,30000,0,100,400,22000,5000,600,400,-23600,-2450,2400,5500,1250,15800,7650,700,5850,28100,31000,15000,79950,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047629,50000,20000,0,0,50000,43600,0,2450,6400,19550,7400,5700,0,0,0,0,50000,22000,5000,600,20000,0,0,400,43600,2450,0,400,6400,19550,7400,5700,2750,23800,2650,1200,8600,51900,33650,16200,110350,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047676,0,0,0,0,0,0,0,0,56400,63150,9850,5300,0,0,0,0,50000,43600,2450,0,0,0,0,400,0,0,0,400,56400,63150,9850,5300,2850,3200,9775,3700,11450,55100,43425,19900,129875,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047706,0,0,0,3000,0,0,0,3000,56400,60150,9850,4900,0,0,0,0,0,0,0,0,0,3000,0,400,0,3000,0,400,56400,60150,9850,4900,2650,28200,31575,4925,14100,83300,75000,24825,197225,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
1047713,0,0,0,3000,0,0,0,3000,56400,57150,12850,4500,0,0,0,0,0,0,3000,0,0,3000,0,400,0,3000,0,400,56400,57150,12850,4500,2450,28200,30075,4925,16550,111500,105075,29750,262875,400,7800,29300,"a242724200d811f0b1c08eccb4671098"
