id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1682824,100,100,1000,200,100,100,1000,200,400,300,0,400,0,0,500,0,100,100,100,100,100,200,1000,100,100,200,500,100,400,300,-500,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1682909,100,150,400,2000,100,150,900,2000,350,0,0,500,0,1600,700,0,100,100,200,500,150,2000,400,400,150,400,200,400,350,-1600,-700,500,200,200,200,700,400,400,400,900,2100,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1682937,500,3000,500,2000,500,3000,1200,3600,0,0,0,300,2550,3450,800,0,100,150,400,200,3000,2000,500,400,450,150,400,400,-2550,-3450,-800,300,250,200,1800,900,650,600,2200,1800,5250,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1682953,2000,6000,500,10000,2000,8550,1300,13450,0,0,0,300,8050,13000,1150,0,500,450,150,400,6000,10000,500,400,500,450,150,400,-8050,-13000,-1150,300,200,2750,3650,1000,850,3350,5850,2800,12850,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1682978,6000,20000,500,10000,6000,28050,1650,23000,0,0,0,50,26050,22500,1200,0,2000,500,450,150,20000,10000,500,400,2000,500,450,400,-26050,-22500,-1200,50,200,8250,13200,1350,1050,11600,19050,4150,35850,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1682984,45000,50000,200,50000,45000,76050,1400,72500,0,0,0,100,70050,70500,900,0,6000,2000,500,450,50000,50000,200,400,6000,2000,500,400,-70050,-70500,-900,100,200,26250,22700,1400,1250,37850,41750,5550,86400,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1682993,45000,500000,500,50000,45000,570050,1400,120500,0,0,600,200,525050,114500,0,0,45000,6000,2000,500,500000,50000,500,400,45000,6000,1400,400,-525050,-114500,600,200,200,70250,70700,1100,1450,108100,112450,6650,228650,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683012,1000000,250000,500,10000,1000000,775050,500,124500,0,0,6100,1200,730050,79500,0,0,45000,45000,6000,1400,250000,10000,500,400,45000,45000,500,400,-730050,-79500,6100,1200,200,525250,114700,300,1650,633350,227150,6950,869100,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683028,1000000,250000,0,0,1000000,980050,0,79500,19950,0,51100,1300,0,34500,0,0,1000000,45000,45000,500,250000,0,0,400,980050,45000,0,400,19950,-34500,51100,1300,600,730250,79700,3050,2250,1363600,306850,10000,1682700,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683053,250000,100000,1000,0,250000,100000,1000,34500,919950,945550,95100,900,0,0,0,0,1000000,980050,45000,0,100000,0,1000,400,100000,34500,1000,400,919950,945550,95100,900,650,9975,34700,25550,2900,1373575,341550,35550,1753575,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683067,0,0,100,0,0,0,100,0,1169950,1045550,129500,1500,0,0,0,0,250000,100000,34500,1000,0,0,100,400,0,0,100,400,1169950,1045550,129500,1500,450,459975,472775,47550,3350,1833550,814325,83100,2734325,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683087,0,0,1,0,0,0,1,0,1169950,1045550,129499,1200,0,0,0,0,0,0,0,100,0,0,1,400,0,0,1,400,1169950,1045550,129499,1200,750,584975,522775,64750,4100,2418525,1337100,147850,3907575,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683093,0,0,0,0,0,0,0,0,1169950,1045550,129499,801,0,0,0,0,0,0,0,1,0,0,0,400,0,0,0,400,1169950,1045550,129499,801,600,584975,522775,64749.5,4700,3003500,1859875,212599.5,5080674.5,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683106,0,0,0,0,0,0,0,0,1169950,1045550,129499,401,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,400,1169950,1045550,129499,401,400.5,584975,522775,64749.5,5100.5,3588475,2382650,277349,6253574.5,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683112,0,0,500,0,0,0,500,0,1169950,1045550,128999,1,0,0,0,0,0,0,0,0,0,0,500,400,0,0,500,400,1169950,1045550,128999,1,200.5,584975,522775,64749.5,5301,4173450,2905425,342098.5,7426274.5,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683124,0,0,500,0,0,0,500,0,1169950,1045550,128499,101,0,0,0,0,0,0,0,500,0,0,500,400,0,0,500,400,1169950,1045550,128499,101,200,584975,522775,64499.5,5501,4758425,3428200,406598,8598724,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683237,100,0,200,0,100,0,200,0,1169950,1045550,128299,201,0,0,0,0,0,0,0,500,0,0,200,400,0,0,200,400,1169950,1045550,128299,201,200,584975,522775,64249.5,5701,5343400,3950975,470847.5,9770923.5,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683240,100,0,500,0,100,0,500,0,1170050,1045550,127799,1,0,0,0,0,100,0,0,200,0,0,500,400,0,0,500,400,1170050,1045550,127799,1,200,584975,522775,64149.5,5901,5928375,4473750,534997,10943023,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683241,0,0,500,0,0,0,500,0,1170150,1045550,127299,101,0,0,0,0,100,0,0,500,0,0,500,400,0,0,500,400,1170150,1045550,127299,101,200,585025,522775,63899.5,6101,6513400,4996525,598896.5,12114922.5,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683243,0,0,500,0,0,0,500,0,1170150,1045550,126799,201,0,0,0,0,0,0,0,500,0,0,500,400,0,0,500,400,1170150,1045550,126799,201,200,585075,522775,63649.5,6301,7098475,5519300,662546,13286622,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683245,0,0,500,0,0,0,500,0,1170150,1045550,126299,301,0,0,0,0,0,0,0,500,0,0,500,400,0,0,500,400,1170150,1045550,126299,301,200,585075,522775,63399.5,6501,7683550,6042075,725945.5,14458071.5,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683247,0,0,500,0,0,0,500,0,1170150,1045550,125799,401,0,0,0,0,0,0,0,500,0,0,500,400,0,0,500,400,1170150,1045550,125799,401,200,585075,522775,63149.5,6701,8268625,6564850,789095,15629271,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683249,0,0,0,0,0,0,0,0,1170150,1045550,125799,501,0,0,0,0,0,0,0,500,0,0,0,400,0,0,0,400,1170150,1045550,125799,501,200.5,585075,522775,62899.5,6901.5,8853700,7087625,851994.5,16800221,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
1683252,0,0,0,0,0,0,0,0,1170150,1045550,125799,101,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,400,1170150,1045550,125799,101,250.5,585075,522775,62899.5,7152,9438775,7610400,914894,17971221,400,7800,29300,"cmkwp7sdo000ci604xe5ri6c7"
