category,Factory,Retailer,Wholesaler,Distributor,Target
1,500,400,300,-99500,400
2,-99000,200,750,-99700,400
3,-99050,-150,500,-99100,400
4,950,-300,500,-99100,400
5,101000,-100,50,-50,400
6,101500,100,98800,-850,400
7,96503,0,98650,-850,400
8,196503,-250,98450,4150,400
9,196505,-450,98900,4150,400
10,216505,-450,98500,4150,400
11,316505,-450,98100,4150,400
12,516505,-450,97700,4150,400
13,516505,-450,97300,4150,400
14,516505,-450,96650,4150,400
15,516505,-200,96000,4150,400
16,516505,50,95350,4150,400
17,516505,300,94850,4150,400
18,516605,400,94850,4150,400
19,516605,0,94850,4150,400
20,516605,-400,94450,4150,400
21,516605,-400,94050,4150,400
22,516605,-400,93650,4150,400
23,516605,-400,92850,4150,400
24,516605,0,92050,4150,400
